2804.5	0409060	AZ	WASHINGTON ELEMENTARY SCHOOL DISTRICT
2803.5	1201110	FL	LEON
2802.2	2400390	MD	HARFORD COUNTY PUBLIC SCHOOLS
2775.7	4841220	TX	SPRING ISD
2762.5	0406250	AZ	PEORIA UNIFIED SCHOOL DISTRICT
2759.5	0602610	CA	ANAHEIM CITY
2754.7	2201650	LA	ST. TAMMANY PARISH
2721.0	4824420	TX	IRVING ISD
2710.8	4900630	UT	NEBO DISTRICT
2709.7	0625800	CA	MORENO VALLEY UNIFIED
2704.2	0405930	AZ	PARADISE VALLEY UNIFIED DISTRICT
2695.3	3702370	NC	JOHNSTON COUNTY SCHOOLS
2690.0	4841100	TX	SPRING BRANCH ISD
2657.0	4823910	TX	HUMBLE ISD
2647.8	4827030	TX	LEANDER ISD
2647.2	0101920	AL	JEFFERSON COUNTY
2633.0	0634590	CA	SAN JOSE UNIFIED
2612.0	4818180	TX	EDINBURG CISD
2611.8	0626370	CA	MT. DIABLO UNIFIED
2607.7	1200300	FL	CLAY
2604.3	5102670	VA	NORFOLK CITY PBLC SCHS
2593.8	0102430	AL	MONTGOMERY COUNTY
2585.8	0614400	CA	FREMONT UNIFIED
2583.3	0600028	CA	TEMECULA VALLEY UNIFIED
2574.5	4834860	TX	PHARR-SAN JUAN-ALAMO ISD
2571.0	3624750	NY	ROCHESTER CITY SCHOOL DISTRICT
2568.0	4825260	TX	KELLER ISD
2568.0	1803630	IN	FORT WAYNE COMMUNITY SCHOOLS
2567.2	3701620	NC	GASTON COUNTY SCHOOLS
2558.3	4901200	UT	WEBER DISTRICT
2555.8	4703690	TN	RUTHERFORD COUNTY SCHOOL DIST
2549.2	3904490	OH	TOLEDO CITY
2540.8	0631530	CA	POWAY UNIFIED
2524.7	1304380	GA	RICHMOND COUNTY
2514.2	4808130	TX	AMARILLO ISD
2512.7	4900142	UT	CANYONS DISTRICT
2501.2	2200330	LA	CALCASIEU PARISH
2495.8	0628470	CA	ONTARIO-MONTCLAIR ELEMENTARY
2493.2	0632550	CA	WEST CONTRA COSTA UNIFIED
2482.8	2201170	LA	ORLEANS PARISH
2451.2	2801320	MS	DESOTO CO SCHOOL DIST
2442.2	4828920	TX	MANSFIELD ISD
2425.7	1908970	IA	DES MOINES INDEPENDENT COMM SCHOOL DISTRICT
2420.3	1303870	GA	MUSCOGEE COUNTY
2418.5	1301500	GA	COWETA COUNTY
2406.0	0601332	CA	TWIN RIVERS UNIFIED
2394.8	0402690	AZ	DYSART UNIFIED DISTRICT
2394.7	4704530	TN	WILLIAMSON COUNTY SCHOOL DIST
2356.2	4703030	TN	MONTGOMERY COUNTY SCHOOLS
2354.2	0622230	CA	LODI UNIFIED
2335.7	2802190	MS	JACKSON PUBLIC SCHOOL DIST
2334.5	4818000	TX	ECTOR COUNTY ISD
2328.3	1201740	FL	ST. JOHNS
2322.7	4826130	TX	LA JOYA ISD
2322.0	3700530	NC	CABARRUS COUNTY SCHOOLS
2308.2	4501170	SC	BERKELEY 01
2295.8	2200870	LA	LAFAYETTE PARISH
2279.3	3407830	NJ	JERSEY CITY
2275.3	0635130	CA	SAN RAMON VALLEY UNIFIED
2266.0	0625470	CA	MONTEBELLO UNIFIED
2262.2	4828500	TX	LUBBOCK ISD
2255.5	5102640	VA	NEWPORT NEWS CITY PBLC SCHS
2253.5	5308250	WA	SPOKANE SCHOOL DISTRICT
